"2025-03-26 14:47:31", "WSARecv failed on first read. Closing connection. Code:997"
"2025-03-26 14:47:31", "Failure while dequeuing IOCP. Cleaning up the client connection."
"2025-03-26 14:50:29", "WSARecv failed on first read. Closing connection. Code:997"
"2025-03-26 14:53:32", "WSARecv failed on first read. Closing connection. Code:997"
"2025-03-26 14:53:32", "Failure while dequeuing IOCP. Cleaning up the client connection."
"2025-03-26 14:59:56", "WSARecv failed on first read. Closing connection. Code:997"
"2025-03-26 14:59:56", "Failure while dequeuing IOCP. Cleaning up the client connection."
"2025-03-26 15:02:49", "WSARecv failed on first read. Closing connection. Code:997"
"2025-03-26 15:02:49", "Failure while dequeuing IOCP. Cleaning up the client connection."
"2025-03-26 15:05:18", "WSARecv failed on first read. Closing connection. Code:997"
"2025-03-26 15:05:18", "Failure while dequeuing IOCP. Cleaning up the client connection."
"2025-03-26 15:08:33", "WSARecv failed on first read. Closing connection. Code:997"
"2025-03-26 15:08:33", "Failure while dequeuing IOCP. Cleaning up the client connection."
"2025-03-26 15:09:47", "WSARecv failed on first read. Closing connection. Code:997"
"2025-03-26 15:09:47", "Failure while dequeuing IOCP. Cleaning up the client connection."
"2025-03-26 15:13:30", "WSARecv failed on first read. Closing connection. Code:997"
"2025-03-26 15:13:30", "Failure while dequeuing IOCP. Cleaning up the client connection."
"2025-03-26 15:15:00", "WSARecv failed on first read. Closing connection. Code:997"
"2025-03-26 15:15:00", "Failure while dequeuing IOCP. Cleaning up the client connection."
"2025-03-26 15:18:49", "WSARecv failed on first read. Closing connection. Code:997"
"2025-03-26 15:19:19", "WSARecv failed. Closing connection."
"2025-03-26 15:21:24", "WSARecv failed on first read. Closing connection. Code:997"
"2025-03-26 15:21:27", "WSARecv failed. Closing connection."
"2025-03-26 15:22:08", "WSARecv failed on first read. Closing connection. Code:997"
"2025-03-26 15:22:44", "WSARecv failed. Closing connection."
"2025-03-26 15:25:04", "WSARecv failed on first read. Closing connection. Code:997"
"2025-03-26 15:25:13", "WSARecv failed. Closing connection."
